Using device: cuda
Loading pre-extracted embeddings...
Loaded 6493 samples.

Training Super Domain Mapper (OHNM + MixUp + Learnable Temp)...
Epoch 165/600 | Loss: 1.1249 | Temp: 0.0762 | LR: 2.73e-04
Epoch 166/600 | Loss: 0.7142 | Temp: 0.0762 | LR: 2.72e-04
Epoch 167/600 | Loss: 0.7327 | Temp: 0.0763 | LR: 2.72e-04
Epoch 168/600 | Loss: 0.8399 | Temp: 0.0764 | LR: 2.71e-04
Epoch 169/600 | Loss: 0.6225 | Temp: 0.0765 | LR: 2.71e-04
Epoch 170/600 | Loss: 1.0175 | Temp: 0.0766 | LR: 2.70e-04
Epoch 171/600 | Loss: 1.1501 | Temp: 0.0765 | LR: 2.70e-04
Epoch 172/600 | Loss: 1.2725 | Temp: 0.0765 | LR: 2.69e-04
Epoch 173/600 | Loss: 0.7351 | Temp: 0.0765 | LR: 2.69e-04
Epoch 174/600 | Loss: 1.2711 | Temp: 0.0764 | LR: 2.68e-04
Epoch 175/600 | Loss: 1.1434 | Temp: 0.0764 | LR: 2.68e-04
Epoch 176/600 | Loss: 1.2199 | Temp: 0.0763 | LR: 2.67e-04
Epoch 177/600 | Loss: 0.8686 | Temp: 0.0763 | LR: 2.67e-04
Epoch 178/600 | Loss: 0.9493 | Temp: 0.0763 | LR: 2.66e-04
Epoch 179/600 | Loss: 1.0027 | Temp: 0.0763 | LR: 2.65e-04
Epoch 180/600 | Loss: 1.2690 | Temp: 0.0763 | LR: 2.65e-04
Epoch 181/600 | Loss: 0.6010 | Temp: 0.0763 | LR: 2.64e-04
Epoch 182/600 | Loss: 0.9398 | Temp: 0.0763 | LR: 2.64e-04
Epoch 183/600 | Loss: 0.8719 | Temp: 0.0763 | LR: 2.63e-04
Epoch 184/600 | Loss: 0.9576 | Temp: 0.0763 | LR: 2.63e-04
Epoch 185/600 | Loss: 0.5753 | Temp: 0.0765 | LR: 2.62e-04
Epoch 186/600 | Loss: 1.3773 | Temp: 0.0764 | LR: 2.61e-04
Epoch 187/600 | Loss: 1.2016 | Temp: 0.0763 | LR: 2.61e-04
Epoch 188/600 | Loss: 0.9681 | Temp: 0.0763 | LR: 2.60e-04
Epoch 189/600 | Loss: 0.9663 | Temp: 0.0762 | LR: 2.60e-04
Epoch 190/600 | Loss: 0.8044 | Temp: 0.0763 | LR: 2.59e-04
Epoch 191/600 | Loss: 0.8380 | Temp: 0.0763 | LR: 2.58e-04
Epoch 192/600 | Loss: 1.1421 | Temp: 0.0763 | LR: 2.58e-04
Epoch 193/600 | Loss: 1.2231 | Temp: 0.0763 | LR: 2.57e-04
Epoch 194/600 | Loss: 0.7064 | Temp: 0.0762 | LR: 2.57e-04
Epoch 195/600 | Loss: 0.9472 | Temp: 0.0763 | LR: 2.56e-04
Epoch 196/600 | Loss: 1.3483 | Temp: 0.0762 | LR: 2.55e-04
Epoch 197/600 | Loss: 1.2016 | Temp: 0.0761 | LR: 2.55e-04
Epoch 198/600 | Loss: 0.8180 | Temp: 0.0761 | LR: 2.54e-04
Epoch 199/600 | Loss: 0.6948 | Temp: 0.0762 | LR: 2.54e-04
Epoch 200/600 | Loss: 0.8721 | Temp: 0.0762 | LR: 2.53e-04
Epoch 201/600 | Loss: 1.2276 | Temp: 0.0762 | LR: 2.52e-04
Epoch 202/600 | Loss: 0.9779 | Temp: 0.0762 | LR: 2.52e-04
Epoch 203/600 | Loss: 1.3807 | Temp: 0.0761 | LR: 2.51e-04
Epoch 204/600 | Loss: 0.7004 | Temp: 0.0761 | LR: 2.50e-04
Epoch 205/600 | Loss: 0.6981 | Temp: 0.0762 | LR: 2.50e-04
Epoch 206/600 | Loss: 0.9404 | Temp: 0.0763 | LR: 2.49e-04
Epoch 207/600 | Loss: 1.1319 | Temp: 0.0762 | LR: 2.48e-04
Epoch 208/600 | Loss: 0.7957 | Temp: 0.0763 | LR: 2.48e-04
Epoch 209/600 | Loss: 0.7964 | Temp: 0.0763 | LR: 2.47e-04
Epoch 210/600 | Loss: 0.9553 | Temp: 0.0763 | LR: 2.46e-04
Epoch 211/600 | Loss: 0.9375 | Temp: 0.0763 | LR: 2.46e-04
Epoch 212/600 | Loss: 0.8944 | Temp: 0.0763 | LR: 2.45e-04
Epoch 213/600 | Loss: 0.9583 | Temp: 0.0763 | LR: 2.44e-04
Epoch 214/600 | Loss: 0.8457 | Temp: 0.0764 | LR: 2.44e-04
Epoch 215/600 | Loss: 1.5112 | Temp: 0.0762 | LR: 2.43e-04
Epoch 216/600 | Loss: 1.0726 | Temp: 0.0762 | LR: 2.42e-04
Epoch 217/600 | Loss: 0.8079 | Temp: 0.0762 | LR: 2.42e-04
Epoch 218/600 | Loss: 0.6846 | Temp: 0.0762 | LR: 2.41e-04
Epoch 219/600 | Loss: 1.1818 | Temp: 0.0762 | LR: 2.40e-04
Epoch 220/600 | Loss: 0.8974 | Temp: 0.0762 | LR: 2.40e-04
Epoch 221/600 | Loss: 1.0367 | Temp: 0.0761 | LR: 2.39e-04
Epoch 222/600 | Loss: 0.8747 | Temp: 0.0761 | LR: 2.38e-04
Epoch 223/600 | Loss: 0.8112 | Temp: 0.0761 | LR: 2.37e-04
